person,film,role
Lisa Lindgren,"('Together', 2000)",actor
Michael Nyqvist,"('Together', 2000)",actor
Emma Samuelsson,"('Together', 2000)",actor
Sam Kessel,"('Together', 2000)",actor
Lukas Moodysson,"('Together', 2000)",director
Joe Mantegna,"('Searching for Bobby Fischer', 1993)",actor
Ben Kingsley,"('Searching for Bobby Fischer', 1993)",actor
Max Pomeranc,"('Searching for Bobby Fischer', 1993)",actor
Joan Allen,"('Searching for Bobby Fischer', 1993)",actor
Steven Zaillian,"('Searching for Bobby Fischer', 1993)",director
Daveed Diggs,"('Blindspotting', 2018)",actor
Rafael Casal,"('Blindspotting', 2018)",actor
Janina Gavankar,"('Blindspotting', 2018)",actor
Jasmine Cephas Jones,"('Blindspotting', 2018)",actor
Carlos Lopez Estrada,"('Blindspotting', 2018)",director
Fabrice Luchini,"('In the House', 2012)",actor
Vincent Schmitt,"('In the House', 2012)",actor
Ernst Umhauer,"('In the House', 2012)",actor
Kristin Scott Thomas,"('In the House', 2012)",actor
Francois Ozon,"('In the House', 2012)",director
Jennifer Carpenter,"(""Mortal Kombat Legends: Scorpion's Revenge"", 2020)",actor
Joel Mchale,"(""Mortal Kombat Legends: Scorpion's Revenge"", 2020)",actor
Ike Amadi,"(""Mortal Kombat Legends: Scorpion's Revenge"", 2020)",actor
Steve Blum,"(""Mortal Kombat Legends: Scorpion's Revenge"", 2020)",actor
Ethan Spaulding,"(""Mortal Kombat Legends: Scorpion's Revenge"", 2020)",director
Agata Kulesza,"('Ida', 2013)",actor
Agata Trzebuchowska,"('Ida', 2013)",actor
Dawid Ogrodnik,"('Ida', 2013)",actor
Jerzy Trela,"('Ida', 2013)",actor
Pawel Pawlikowski,"('Ida', 2013)",director
Geza Rohrig,"('Son of Saul', 2015)",actor
Levente Molnar,"('Son of Saul', 2015)",actor
Urs Rechn,"('Son of Saul', 2015)",actor
Todd Charmont,"('Son of Saul', 2015)",actor
Laszlo Nemes,"('Son of Saul', 2015)",director
Nahuel Perez Biscayart,"('Persian Lessons', 2020)",actor
Lars Eidinger,"('Persian Lessons', 2020)",actor
Jonas Nay,"('Persian Lessons', 2020)",actor
David Schutter,"('Persian Lessons', 2020)",actor
Vadim Perelman,"('Persian Lessons', 2020)",director
Alia Bhatt,"('Dear Zindagi', 2016)",actor
Shah Rukh Khan,"('Dear Zindagi', 2016)",actor
Kunal Kapoor,"('Dear Zindagi', 2016)",actor
Priyanka Moodley,"('Dear Zindagi', 2016)",actor
Gauri Shinde,"('Dear Zindagi', 2016)",director
Gael Garcia Bernal,"('No', 2012)",actor
Alfredo Castro,"('No', 2012)",actor
Antonia Zegers,"('No', 2012)",actor
Luis Gnecco,"('No', 2012)",actor
Pablo Larrain,"('No', 2012)",director
James Woods,"('Salvador', 1986)",actor
Jim Belushi,"('Salvador', 1986)",actor
Michael Murphy,"('Salvador', 1986)",actor
John Savage,"('Salvador', 1986)",actor
Oliver Stone,"('Salvador', 1986)",director
Ioan Gruffudd,"('Amazing Grace', 2006)",actor
Albert Finney,"('Amazing Grace', 2006)",actor
Michael Gambon,"('Amazing Grace', 2006)",actor
Romola Garai,"('Amazing Grace', 2006)",actor
Michael Apted,"('Amazing Grace', 2006)",director
Sivakarthikeyan,"('Doctor', 2021)",actor
Vinay Rai,"('Doctor', 2021)",actor
Priyanka Arulmohan,"('Doctor', 2021)",actor
Yogi Babu,"('Doctor', 2021)",actor
Nelson Dilipkumar,"('Doctor', 2021)",director
Jean-Paul Belmondo,"('The Professional', 1981)",actor
Jean Desailly,"('The Professional', 1981)",actor
Cyrielle Clair,"('The Professional', 1981)",actor
Marie-Christine Descouard,"('The Professional', 1981)",actor
Georges Lautner,"('The Professional', 1981)",director
Ana Torrent,"('Thesis', 1996)",actor
Fele Martinez,"('Thesis', 1996)",actor
Eduardo Noriega,"('Thesis', 1996)",actor
Xabier Elorriaga,"('Thesis', 1996)",actor
Alejandro Amenabar,"('Thesis', 1996)",director
Everlyn Sampi,"('Rabbit-Proof Fence', 2002)",actor
Tianna Sansbury,"('Rabbit-Proof Fence', 2002)",actor
Kenneth Branagh,"('Rabbit-Proof Fence', 2002)",actor
Laura Monaghan,"('Rabbit-Proof Fence', 2002)",actor
Phillip Noyce,"('Rabbit-Proof Fence', 2002)",director
Adrienne Shelly,"('Trust', 1990)",actor
Martin Donovan,"('Trust', 1990)",actor
Rebecca Nelson,"('Trust', 1990)",actor
John Mackay,"('Trust', 1990)",actor
Hal Hartley,"('Trust', 1990)",director
Pierfrancesco Favino,"('Suburra', 2015)",actor
Elio Germano,"('Suburra', 2015)",actor
Claudio Amendola,"('Suburra', 2015)",actor
Alessandro Borghi,"('Suburra', 2015)",actor
Stefano Sollima,"('Suburra', 2015)",director
Mel Gibson,"('Gallipoli', 1981)",actor
Mark Lee,"('Gallipoli', 1981)",actor
Bill Kerr,"('Gallipoli', 1981)",actor
Harold Hopkins,"('Gallipoli', 1981)",actor
Peter Weir,"('Gallipoli', 1981)",director
Joan Chen,"('Saving Face', 2004)",actor
Michelle Krusiec,"('Saving Face', 2004)",actor
Lynn Chen,"('Saving Face', 2004)",actor
Jin Wang,"('Saving Face', 2004)",actor
Alice Wu,"('Saving Face', 2004)",director
Sally Field,"('Places in the Heart', 1984)",actor
Lindsay Crouse,"('Places in the Heart', 1984)",actor
Ed Harris,"('Places in the Heart', 1984)",actor
Amy Madigan,"('Places in the Heart', 1984)",actor
Robert Benton,"('Places in the Heart', 1984)",director
Sidney Flanigan,"('Never Rarely Sometimes Always', 2020)",actor
Talia Ryder,"('Never Rarely Sometimes Always', 2020)",actor
Theodore Pellerin,"('Never Rarely Sometimes Always', 2020)",actor
Eliazar Jimenez,"('Never Rarely Sometimes Always', 2020)",actor
Eliza Hittman,"('Never Rarely Sometimes Always', 2020)",director
Gary Oldman,"('Immortal Beloved', 1994)",actor
Jeroen Krabbe,"('Immortal Beloved', 1994)",actor
Isabella Rossellini,"('Immortal Beloved', 1994)",actor
Johanna Ter Steege,"('Immortal Beloved', 1994)",actor
Bernard Rose,"('Immortal Beloved', 1994)",director
Michael Caine,"('Noises Off...', 1992)",actor
Carol Burnett,"('Noises Off...', 1992)",actor
Denholm Elliott,"('Noises Off...', 1992)",actor
Julie Hagerty,"('Noises Off...', 1992)",actor
Peter Bogdanovich,"('Noises Off...', 1992)",director
John Lurie,"('Stranger Than Paradise', 1984)",actor
Eszter Balint,"('Stranger Than Paradise', 1984)",actor
Richard Edson,"('Stranger Than Paradise', 1984)",actor
Cecillia Stark,"('Stranger Than Paradise', 1984)",actor
Jim Jarmusch,"('Stranger Than Paradise', 1984)",director
Daniel Auteuil,"('La belle époque', 2019)",actor
Guillaume Canet,"('La belle époque', 2019)",actor
Doria Tillier,"('La belle époque', 2019)",actor
Fanny Ardant,"('La belle époque', 2019)",actor
Nicolas Bedos,"('La belle époque', 2019)",director
Reese Witherspoon,"('The Good Lie', 2014)",actor
Arnold Oceng,"('The Good Lie', 2014)",actor
Ger Duany,"('The Good Lie', 2014)",actor
Emmanuel Jal,"('The Good Lie', 2014)",actor
Philippe Falardeau,"('The Good Lie', 2014)",director
Takeru Satoh,"('Rurôni Kenshin: Sai shûshô - The Beginning', 2021)",actor
Kasumi Arimura,"('Rurôni Kenshin: Sai shûshô - The Beginning', 2021)",actor
Yosuke Eguchi,"('Rurôni Kenshin: Sai shûshô - The Beginning', 2021)",actor
Kazuki Kitamura,"('Rurôni Kenshin: Sai shûshô - The Beginning', 2021)",actor
Keishi Otomo,"('Rurôni Kenshin: Sai shûshô - The Beginning', 2021)",director
Nikolaj Lie Kaas,"('Journal 64', 2018)",actor
Fares Fares,"('Journal 64', 2018)",actor
Johanne Louise Schmidt,"('Journal 64', 2018)",actor
Søren Pilmark,"('Journal 64', 2018)",actor
Christoffer Boe,"('Journal 64', 2018)",director
Mia Farrow,"('Radio Days', 1987)",actor
Dianne Wiest,"('Radio Days', 1987)",actor
Mike Starr,"('Radio Days', 1987)",actor
Paul Herman,"('Radio Days', 1987)",actor
Woody Allen,"('Radio Days', 1987)",director
Felicity Huffman,"('Transamerica', 2005)",actor
Kevin Zegers,"('Transamerica', 2005)",actor
Fionnula Flanagan,"('Transamerica', 2005)",actor
Andrea James,"('Transamerica', 2005)",actor
Duncan Tucker,"('Transamerica', 2005)",director
Elisabeth Harnois,"('Keith', 2008)",actor
Jesse Mccartney,"('Keith', 2008)",actor
Margo Harshman,"('Keith', 2008)",actor
Ignacio Serricchio,"('Keith', 2008)",actor
Todd Kessler,"('Keith', 2008)",director
Jim Broadbent,"('Another Year', 2010)",actor
Ruth Sheen,"('Another Year', 2010)",actor
Lesley Manville,"('Another Year', 2010)",actor
Oliver Maltman,"('Another Year', 2010)",actor
Mike Leigh,"('Another Year', 2010)",director
Paul Giamatti,"('American Splendor', 2003)",actor
Shari Springer Berman,"('American Splendor', 2003)",actor
Harvey Pekar,"('American Splendor', 2003)",actor
Chris Ambrose,"('American Splendor', 2003)",actor
Shari Springer Berman,"('American Splendor', 2003)",director
Robert Pulcini,"('American Splendor', 2003)",director
Zoe Heran,"('Tomboy', 2011)",actor
Malonn Levana,"('Tomboy', 2011)",actor
Jeanne Disson,"('Tomboy', 2011)",actor
Sophie Cattani,"('Tomboy', 2011)",actor
Celine Sciamma,"('Tomboy', 2011)",director
Kristyna Kohoutova,"('Alice', 1988)",actor
Camilla Power,"('Alice', 1988)",actor
Jan Svankmajer,"('Alice', 1988)",director
Lung Ti,"('A Better Tomorrow', 1986)",actor
Leslie Cheung,"('A Better Tomorrow', 1986)",actor
Chow Yun-Fat,"('A Better Tomorrow', 1986)",actor
Emily Chu,"('A Better Tomorrow', 1986)",actor
John Woo,"('A Better Tomorrow', 1986)",director
Aliya Astaphan,"('AmeriGeddon', 2016)",actor
Rich Bentz,"('AmeriGeddon', 2016)",actor
Giovannie Cruz,"('AmeriGeddon', 2016)",actor
Jonny Cruz,"('AmeriGeddon', 2016)",actor
Mike Norris,"('AmeriGeddon', 2016)",director
Marianne Sagebrecht,"('Bagdad Cafe', 1987)",actor
Cch Pounder,"('Bagdad Cafe', 1987)",actor
Jack Palance,"('Bagdad Cafe', 1987)",actor
Christine Kaufmann,"('Bagdad Cafe', 1987)",actor
Percy Adlon,"('Bagdad Cafe', 1987)",director
Denzel Washington,"('Cry Freedom', 1987)",actor
Kevin Kline,"('Cry Freedom', 1987)",actor
Josette Simon,"('Cry Freedom', 1987)",actor
Wabei Siyolwe,"('Cry Freedom', 1987)",actor
Richard Attenborough,"('Cry Freedom', 1987)",director
Elijah Wood,"('Everything Is Illuminated', 2005)",actor
Eugene Hutz,"('Everything Is Illuminated', 2005)",actor
Boris Lyoskin,"('Everything Is Illuminated', 2005)",actor
Jonathan Safran Foer,"('Everything Is Illuminated', 2005)",actor
Liev Schreiber,"('Everything Is Illuminated', 2005)",director
Ryan Corr,"('Holding the Man', 2015)",actor
Sarah Snook,"('Holding the Man', 2015)",actor
Francesco Ferdinandi,"('Holding the Man', 2015)",actor
Craig Stott,"('Holding the Man', 2015)",actor
Neil Armfield,"('Holding the Man', 2015)",director
Jim Broadbent,"('Topsy-Turvy', 1999)",actor
Allan Corduner,"('Topsy-Turvy', 1999)",actor
Dexter Fletcher,"('Topsy-Turvy', 1999)",actor
Sukie Smith,"('Topsy-Turvy', 1999)",actor
Mike Leigh,"('Topsy-Turvy', 1999)",director
Andy Garcia,"('City Island', 2009)",actor
Julianna Margulies,"('City Island', 2009)",actor
Steven Strait,"('City Island', 2009)",actor
Emily Mortimer,"('City Island', 2009)",actor
Raymond De Felitta,"('City Island', 2009)",director
Josh Hutcherson,"('Little Manhattan', 2005)",actor
Charlotte Ray Rosenberg,"('Little Manhattan', 2005)",actor
Bradley Whitford,"('Little Manhattan', 2005)",actor
Cynthia Nixon,"('Little Manhattan', 2005)",actor
Mark Levin,"('Little Manhattan', 2005)",director
Akio Otsuka,"('Ghost in the Shell 2: Innocence', 2004)",actor
Atsuko Tanaka,"('Ghost in the Shell 2: Innocence', 2004)",actor
Tamio Oki,"('Ghost in the Shell 2: Innocence', 2004)",actor
Koichi Yamadera,"('Ghost in the Shell 2: Innocence', 2004)",actor
Mamoru Oshii,"('Ghost in the Shell 2: Innocence', 2004)",director
Harvey Keitel,"('Smoke', 1995)",actor
William Hurt,"('Smoke', 1995)",actor
Giancarlo Esposito,"('Smoke', 1995)",actor
Jose Zuniga,"('Smoke', 1995)",actor
Wayne Wang,"('Smoke', 1995)",director
Anne Dorval,"('I Killed My Mother', 2009)",actor
Xavier Dolan,"('I Killed My Mother', 2009)",actor
Francois Arnaud,"('I Killed My Mother', 2009)",actor
Suzanne Clement,"('I Killed My Mother', 2009)",actor
Xavier Dolan,"('I Killed My Mother', 2009)",director
Billy Crudup,"('Rudderless', 2014)",actor
Anton Yelchin,"('Rudderless', 2014)",actor
Felicity Huffman,"('Rudderless', 2014)",actor
Selena Gomez,"('Rudderless', 2014)",actor
William H. Macy,"('Rudderless', 2014)",director
Sonia Braga,"('Aquarius', 2016)",actor
Maeve Jinkings,"('Aquarius', 2016)",actor
Irandhir Santos,"('Aquarius', 2016)",actor
Humberto Carrao,"('Aquarius', 2016)",actor
Kleber Mendonca Filho,"('Aquarius', 2016)",director
Woody Allen,"('Broadway Danny Rose', 1984)",actor
Mia Farrow,"('Broadway Danny Rose', 1984)",actor
Nick Apollo Forte,"('Broadway Danny Rose', 1984)",actor
Sandy Baron,"('Broadway Danny Rose', 1984)",actor
Woody Allen,"('Broadway Danny Rose', 1984)",director
Ryunosuke Kamiki,"('Summer Wars', 2009)",actor
Nanami Sakuraba,"('Summer Wars', 2009)",actor
Mitsuki Tanimura,"('Summer Wars', 2009)",actor
Takahiro Yokokawa,"('Summer Wars', 2009)",actor
Mamoru Hosoda,"('Summer Wars', 2009)",director
Madina Nalwanga,"('Queen of Katwe', 2016)",actor
David Oyelowo,"('Queen of Katwe', 2016)",actor
Lupita Nyong'O,"('Queen of Katwe', 2016)",actor
Martin Kabanza,"('Queen of Katwe', 2016)",actor
Mira Nair,"('Queen of Katwe', 2016)",director
Emilie Dequenne,"('Rosetta', 1999)",actor
Fabrizio Rongione,"('Rosetta', 1999)",actor
Anne Yernaux,"('Rosetta', 1999)",actor
Olivier Gourmet,"('Rosetta', 1999)",actor
Jean-Pierre Dardenne,"('Rosetta', 1999)",director
Luc Dardenne,"('Rosetta', 1999)",director
Brady Jandreau,"('The Rider', 2017)",actor
Mooney,"('The Rider', 2017)",actor
Tim Jandreau,"('The Rider', 2017)",actor
Lilly Jandreau,"('The Rider', 2017)",actor
Chloe Zhao,"('The Rider', 2017)",director
Catalina Sandino Moreno,"('Maria Full of Grace', 2004)",actor
Guilied Lopez,"('Maria Full of Grace', 2004)",actor
Orlando Tobon,"('Maria Full of Grace', 2004)",actor
Virginia Cristina Ariza,"('Maria Full of Grace', 2004)",actor
Joshua Marston,"('Maria Full of Grace', 2004)",director
Sarah Polley,"('My Life Without Me', 2003)",actor
Scott Speedman,"('My Life Without Me', 2003)",actor
Mark Ruffalo,"('My Life Without Me', 2003)",actor
Leonor Watling,"('My Life Without Me', 2003)",actor
Isabel Coixet,"('My Life Without Me', 2003)",director
Masako Nozawa,"('Dragon Ball Z: Broly - The Legendary Super Saiyan', 1993)",actor
Toshio Furukawa,"('Dragon Ball Z: Broly - The Legendary Super Saiyan', 1993)",actor
Mayumi Tanaka,"('Dragon Ball Z: Broly - The Legendary Super Saiyan', 1993)",actor
Takeshi Kusao,"('Dragon Ball Z: Broly - The Legendary Super Saiyan', 1993)",actor
Shigeyasu Yamauchi,"('Dragon Ball Z: Broly - The Legendary Super Saiyan', 1993)",director
Ajay Devgn,"('Once Upon a Time in Mumbaai', 2010)",actor
Emraan Hashmi,"('Once Upon a Time in Mumbaai', 2010)",actor
Kangana Ranaut,"('Once Upon a Time in Mumbaai', 2010)",actor
Prachi Desai,"('Once Upon a Time in Mumbaai', 2010)",actor
Milan Luthria,"('Once Upon a Time in Mumbaai', 2010)",director
Ajay Devgn,"('Raid', 2018)",actor
Ileana D'Cruz,"('Raid', 2018)",actor
Saurabh Shukla,"('Raid', 2018)",actor
Amit Sial,"('Raid', 2018)",actor
Raj Kumar Gupta,"('Raid', 2018)",director
Halldora Geirharðsdottir,"('Kona fer í stríð', 2018)",actor
Johann Sigurðarson,"('Kona fer í stríð', 2018)",actor
Juan Camilo Roman Estrada,"('Kona fer í stríð', 2018)",actor
Jorundur Ragnarsson,"('Kona fer í stríð', 2018)",actor
Benedikt Erlingsson,"('Kona fer í stríð', 2018)",director
Vincent Cassel,"('Mesrine: Public Enemy No. 1', 2008)",actor
Ludivine Sagnier,"('Mesrine: Public Enemy No. 1', 2008)",actor
Mathieu Amalric,"('Mesrine: Public Enemy No. 1', 2008)",actor
Samuel Le Bihan,"('Mesrine: Public Enemy No. 1', 2008)",actor
Jean-Francois Richet,"('Mesrine: Public Enemy No. 1', 2008)",director
Nahuel Perez Biscayart,"('120 BPM', 2017)",actor
Arnaud Valois,"('120 BPM', 2017)",actor
Adele Haenel,"('120 BPM', 2017)",actor
Antoine Reinartz,"('120 BPM', 2017)",actor
Robin Campillo,"('120 BPM', 2017)",director
Anne Bancroft,"('84 Charing Cross Road', 1987)",actor
Anthony Hopkins,"('84 Charing Cross Road', 1987)",actor
Judi Dench,"('84 Charing Cross Road', 1987)",actor
Jean De Baer,"('84 Charing Cross Road', 1987)",actor
David Hugh Jones,"('84 Charing Cross Road', 1987)",director
Behzad Dorani,"('The Wind Will Carry Us', 1999)",actor
Noghre Asadi,"('The Wind Will Carry Us', 1999)",actor
Roushan Karam Elmi,"('The Wind Will Carry Us', 1999)",actor
Bahman Ghobadi,"('The Wind Will Carry Us', 1999)",actor
Abbas Kiarostami,"('The Wind Will Carry Us', 1999)",director
Diego Abatantuono,"('Mediterraneo', 1991)",actor
Claudio Bigagli,"('Mediterraneo', 1991)",actor
Giuseppe Cederna,"('Mediterraneo', 1991)",actor
Claudio Bisio,"('Mediterraneo', 1991)",actor
Gabriele Salvatores,"('Mediterraneo', 1991)",director
Christian Patey,"(""L'Argent"", 1983)",actor
Sylvie Van Den Elsen,"(""L'Argent"", 1983)",actor
Michel Briguet,"(""L'Argent"", 1983)",actor
Vincent Risterucci,"(""L'Argent"", 1983)",actor
Robert Bresson,"(""L'Argent"", 1983)",director
Vincent Cassel,"('The Specials', 2019)",actor
Reda Kateb,"('The Specials', 2019)",actor
Helene Vincent,"('The Specials', 2019)",actor
Bryan Mialoundama,"('The Specials', 2019)",actor
Olivier Nakache,"('The Specials', 2019)",director
Eric Toledano,"('The Specials', 2019)",director
Gael Garcia Bernal,"('Even the Rain', 2010)",actor
Luis Tosar,"('Even the Rain', 2010)",actor
Karra Elejalde,"('Even the Rain', 2010)",actor
Juan Carlos Aduviri,"('Even the Rain', 2010)",actor
Iciar Bollain,"('Even the Rain', 2010)",director
Akshay Kumar,"('Kesari', 2019)",actor
Parineeti Chopra,"('Kesari', 2019)",actor
Suvinder Vicky,"('Kesari', 2019)",actor
Vansh Bhardwaj,"('Kesari', 2019)",actor
Anurag Singh,"('Kesari', 2019)",director
Amitabh Bachchan,"('Baghban', 2003)",actor
Hema Malini,"('Baghban', 2003)",actor
Salman Khan,"('Baghban', 2003)",actor
Mahima Chaudhry,"('Baghban', 2003)",actor
Ravi Chopra,"('Baghban', 2003)",director
Varun Dhawan,"('Badlapur', 2015)",actor
Nawazuddin Siddiqui,"('Badlapur', 2015)",actor
Yami Gautam,"('Badlapur', 2015)",actor
Huma Qureshi,"('Badlapur', 2015)",actor
Sriram Raghavan,"('Badlapur', 2015)",director
Mehmet Tutkun,"('Badlapur', 2015)",director
Alison Steadman,"('Life Is Sweet', 1990)",actor
Jim Broadbent,"('Life Is Sweet', 1990)",actor
Claire Skinner,"('Life Is Sweet', 1990)",actor
Jane Horrocks,"('Life Is Sweet', 1990)",actor
Mike Leigh,"('Life Is Sweet', 1990)",director
Imran Khan,"('Jaane Tu... Ya Jaane Na', 2008)",actor
Genelia Deshmukh,"('Jaane Tu... Ya Jaane Na', 2008)",actor
Manjari Fadnnis,"('Jaane Tu... Ya Jaane Na', 2008)",actor
Ayaz Khan,"('Jaane Tu... Ya Jaane Na', 2008)",actor
Abbas Tyrewala,"('Jaane Tu... Ya Jaane Na', 2008)",director
Kais Nashif,"('Paradise Now', 2005)",actor
Ali Suliman,"('Paradise Now', 2005)",actor
Lubna Azabal,"('Paradise Now', 2005)",actor
Hamza Abu-Aiaash,"('Paradise Now', 2005)",actor
Hany Abu-Assad,"('Paradise Now', 2005)",director
Martin Compston,"('Sweet Sixteen', 2002)",actor
Michelle Coulter,"('Sweet Sixteen', 2002)",actor
Annmarie Fulton,"('Sweet Sixteen', 2002)",actor
William Ruane,"('Sweet Sixteen', 2002)",actor
Ken Loach,"('Sweet Sixteen', 2002)",director
Kseniya Rappoport,"('The Unknown Woman', 2006)",actor
Michele Placido,"('The Unknown Woman', 2006)",actor
Claudia Gerini,"('The Unknown Woman', 2006)",actor
Piera Degli Esposti,"('The Unknown Woman', 2006)",actor
Giuseppe Tornatore,"('The Unknown Woman', 2006)",director
Alan Rickman,"('Snow Cake', 2006)",actor
Sigourney Weaver,"('Snow Cake', 2006)",actor
Carrie-Anne Moss,"('Snow Cake', 2006)",actor
Emily Hampshire,"('Snow Cake', 2006)",actor
Marc Evans,"('Snow Cake', 2006)",director
Benno Furmann,"('North Face', 2008)",actor
Florian Lukas,"('North Face', 2008)",actor
Johanna Wokalek,"('North Face', 2008)",actor
Simon Schwarz,"('North Face', 2008)",actor
Philipp Stolzl,"('North Face', 2008)",director
Amitabh Bachchan,"('Jhund', 2022)",actor
Ankush Gedam,"('Jhund', 2022)",actor
Babu Kshatriya,"('Jhund', 2022)",actor
Jerico Robert,"('Jhund', 2022)",actor
Nagraj Manjule,"('Jhund', 2022)",director
Claude Baz Moussawbaa,"('Where Do We Go Now?', 2011)",actor
Nadine Labaki,"('Where Do We Go Now?', 2011)",actor
Yvonne Maalouf,"('Where Do We Go Now?', 2011)",actor
Layla Hakim,"('Where Do We Go Now?', 2011)",actor
Nadine Labaki,"('Where Do We Go Now?', 2011)",director
